CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
Vol dans / sur véhicule à moteur,2017-08-22,jour,21.0,299392.216,5041459.574,-73.569213,45.513035
Méfait,2018-03-18,jour,8.0,291195.719,5033908.5,-73.673909,45.444975
Vol de véhicule à moteur,2018-10-15,jour,8.0,291352.781,5033908.0,-73.671901,45.444974
Vol dans / sur véhicule à moteur,2018-09-19,jour,11.0,293977.491,5035887.517,-73.638392,45.462832
Méfait,2018-03-27,jour,8.0,291273.875,5033907.0,-73.67291,45.444963
Méfait,2018-11-15,soir,8.0,291699.0,5033910.5,-73.667476,45.445003
Introduction,2018-09-12,jour,8.0,291699.0,5033910.5,-73.667476,45.445003
Introduction,2018-08-28,soir,8.0,289935.875,5033898.5,-73.690014,45.44486
Vol dans / sur véhicule à moteur,2018-01-24,jour,30.0,293774.374,5047669.543,-73.641255,45.568848
Vol de véhicule à moteur,2018-01-14,soir,30.0,293774.374,5047669.543,-73.641255,45.568848
Vol de véhicule à moteur,2018-05-19,nuit,30.0,293810.608,5047729.332,-73.640792,45.569387
Vol de véhicule à moteur,2018-02-02,soir,30.0,293929.611,5047928.552,-73.639272,45.571181
Méfait,2017-08-23,jour,48.0,301755.542,5049999.053,-73.539019,45.589891
Méfait,2017-08-23,jour,10.0,292762.67,5043640.815,-73.654117,45.53258
Introduction,2017-08-23,soir,21.0,299529.409,5041890.079,-73.567462,45.51691
Vol dans / sur véhicule à moteur,2017-08-24,jour,48.0,302215.199,5051070.73,-73.533133,45.599536
Vol dans / sur véhicule à moteur,2017-08-24,jour,21.0,299392.216,5041459.574,-73.569213,45.513035
Vol de véhicule à moteur,2017-08-24,soir,48.0,301755.542,5049999.053,-73.539019,45.589891
Vol dans / sur véhicule à moteur,2017-08-26,jour,46.0,300805.909,5050610.933,-73.551194,45.595392
Introduction,2017-08-26,soir,48.0,301017.584,5048244.23,-73.548463,45.574096
Méfait,2017-08-26,soir,44.0,300551.563,5046275.945,-73.554417,45.556383
Vol dans / sur véhicule à moteur,2017-09-10,jour,49.0,303970.139,5056994.119,-73.510648,45.65284
Vol dans / sur véhicule à moteur,2017-09-10,jour,21.0,302564.463,5042216.714,-73.528616,45.519865
Vol de véhicule à moteur,2017-09-11,nuit,48.0,301721.825,5049882.287,-73.53945,45.58884
Méfait,2017-09-11,jour,48.0,302451.07,5051626.936,-73.530112,45.604541
Introduction,2017-09-11,soir,23.0,300488.849,5045339.075,-73.555212,45.547952
Introduction,2017-09-12,jour,22.0,299704.736,5042656.898,-73.565226,45.523811
Vol de véhicule à moteur,2017-09-12,jour,44.0,300551.563,5046275.945,-73.554417,45.556383
Introduction,2018-04-20,jour,30.0,295558.302,5049036.135,-73.618426,45.581171
Introduction,2018-04-20,jour,30.0,295558.302,5049036.135,-73.618426,45.581171
Introduction,2018-02-14,jour,42.0,296305.063,5049911.0,-73.608872,45.589053
Vol dans / sur véhicule à moteur,2018-05-15,jour,42.0,297245.188,5050261.5,-73.596829,45.592218
Introduction,2016-07-25,nuit,44.0,300278.987,5044726.107,-73.557894,45.542435
Introduction,2017-08-02,soir,30.0,294439.007,5047841.927,-73.632743,45.57041
Introduction,2016-07-27,jour,22.0,299678.304,5042385.085,-73.565561,45.521365
Vol dans / sur véhicule à moteur,2016-09-02,jour,48.0,301441.859,5049207.62,-73.543033,45.582768
Vol de véhicule à moteur,2016-10-13,soir,15.0,297549.377,5035009.561,-73.592704,45.454978
Vol dans / sur véhicule à moteur,2016-10-18,jour,48.0,301755.542,5049999.053,-73.539019,45.589891
Introduction,2016-10-19,soir,48.0,301987.206,5049627.097,-73.536047,45.586545
Méfait,2016-10-20,jour,49.0,303984.418,5057110.871,-73.510465,45.653891
Vols qualifiés,2017-08-16,soir,48.0,301338.832,5048961.951,-73.544352,45.580556
Vol dans / sur véhicule à moteur,2017-08-16,soir,9.0,292855.454,5037329.247,-73.652775,45.475787
Vols qualifiés,2017-09-12,soir,48.0,301369.802,5049035.457,-73.543956,45.581218
Vol dans / sur véhicule à moteur,2017-09-13,jour,23.0,300584.095,5047324.087,-73.554009,45.565814
Introduction,2017-09-13,soir,23.0,300528.747,5045911.755,-73.554706,45.553105
Vol dans / sur véhicule à moteur,2017-09-13,jour,23.0,300495.962,5045441.728,-73.555122,45.548876
Vol dans / sur véhicule à moteur,2017-09-14,jour,49.0,304328.881,5058411.713,-73.506046,45.665596
Méfait,2017-09-12,jour,44.0,300551.563,5046275.945,-73.554417,45.556383
Vol de véhicule à moteur,2017-09-15,jour,48.0,301369.802,5049035.457,-73.543956,45.581218
Vol dans / sur véhicule à moteur,2017-09-15,soir,38.0,298819.945,5041327.335,-73.576536,45.51184
Vol dans / sur véhicule à moteur,2017-10-31,jour,11.0,293816.669,5036802.939,-73.640469,45.471067
Vol dans / sur véhicule à moteur,2017-10-31,soir,15.0,298385.259,5036684.469,-73.582039,45.470058
Vol de véhicule à moteur,2017-10-31,soir,48.0,301721.825,5049882.287,-73.53945,45.58884
